href,title,price,zalog,predoplata,komissiyaarea,floor,totalArea,kitchenArea,livingArea,roomsCount,hasAirConditioner,hasDishwasher,hasFridge,hasFurniture,hasInternet,hasKitchenFurniture,hasTv,hasWashingMachine,hasBalcony,ceilingHeightM,routesList,windowsDirection,ceilingHeightM,index,komissiya
https://m2.ru/moskva/nedvizhimost/arenda-1-komnatnoi-kvartiri-33-m-6-9-etazh-b9df629f-f4c4-49d1-8378-0b1bc7519df9/,"Аренда 1-комнатной квартиры 33 м², 6/9 этаж",37000,37 000 ₽,37 000 ₽,,6,33,9,20 м²,1,false,false,true,true,false,true,false,true,true,"2,7","{""timeMinutes"":15,""transportType"":""FOOT"",""station"":{""id"":14571,""name"":""Каширская"",""allRoutesColorsList"":[""#4baf4f"",""#89cdcf""]}},{""timeMinutes"":21,""transportType"":""FOOT"",""station"":{""id"":89,""name"":""Кантемировская"",""allRoutesColorsList"":[""#4baf4f""]}},{""timeMinutes"":28,""transportType"":""FOOT"",""station"":{""id"":169319,""name"":""Москворечье"",""allRoutesColorsList"":[""#E94282""]}",REAR,"2,7",1.0,владельцу 30%
,,,,,,,,,,,,,,,,,,,,,,,,2.0,
https://m2.ru/moskva/nedvizhimost/arenda-1-komnatnoi-kvartiri-34-1-m-9-12-etazh-181cc559-68cc-4142-b916-ab32b2abd1de/,"Аренда 1-комнатной квартиры 34,1 м², 9/12 этаж",37000,37 000 ₽,37 000 ₽,,9,34.099998474121094,9.600000381469727,14 м²,1,false,false,true,true,true,true,true,true,true,"2,65","{""timeMinutes"":22,""transportType"":""FOOT"",""station"":{""id"":262,""name"":""Новокосино"",""allRoutesColorsList"":[""#FBCD24""]}},{""timeMinutes"":29,""transportType"":""PUBLIC_TRANSPORT"",""station"":{""id"":261,""name"":""Новогиреево"",""allRoutesColorsList"":[""#FBCD24""]}},{""timeMinutes"":32,""transportType"":""PUBLIC_TRANSPORT"",""station"":{""id"":259,""name"":""Перово"",""allRoutesColorsList"":[""#FBCD24""]}",FRONT,"2,65",3.0,
https://m2.ru/moskva/nedvizhimost/arenda-1-komnatnoi-kvartiri-27-m-2-5-etazh-22133145-fc29-44f8-8d64-a88d65f43a22/,"Аренда 1-комнатной квартиры 27 м², 2/5 этаж",33000,33 000 ₽,33 000 ₽,,2,27,5,17 м²,1,false,false,true,true,false,true,false,true,false,"2,5","{""timeMinutes"":9,""transportType"":""FOOT"",""station"":{""id"":926047,""name"":""Cевастопольская"",""allRoutesColorsList"":[""#89cdcf"",""#adacac""]}},{""timeMinutes"":12,""transportType"":""FOOT"",""station"":{""id"":290,""name"":""Севастопольская"",""allRoutesColorsList"":[""#adacac"",""#89cdcf""]}},{""timeMinutes"":15,""transportType"":""FOOT"",""station"":{""id"":288,""name"":""Нахимовский проспект"",""allRoutesColorsList"":[""#adacac""]}",REAR,"2,5",4.0,
https://m2.ru/moskva/nedvizhimost/arenda-3-komnatnoi-kvartiri-69-m-1-25-etazh-58147f1f-07a4-4d2f-94ad-9d165cf1cd78/,"Аренда 3-комнатной квартиры 69 м², 1/25 этаж",72000,72 000 ₽,72 000 ₽,,1,69,10,42 м²,3,false,true,true,true,true,true,false,true,true,"2,48","{""timeMinutes"":10,""transportType"":""FOOT"",""station"":{""id"":118,""name"":""Славянский бульвар"",""allRoutesColorsList"":[""#0572b9"",""#F7A600""]}},{""timeMinutes"":20,""transportType"":""FOOT"",""station"":{""id"":169296,""name"":""Кунцевская"",""allRoutesColorsList"":[""#F7A600""]}},{""timeMinutes"":21,""transportType"":""FOOT"",""station"":{""id"":140,""name"":""Пионерская"",""allRoutesColorsList"":[""#41BCEF""]}",REAR,"2,48",5.0,
https://m2.ru/moskva/nedvizhimost/arenda-2-komnatnoi-kvartiri-54-m-3-16-etazh-450bfd22-c77a-459d-968b-24cb42f58bef/,"Аренда 2-комнатной квартиры 54 м², 3/16 этаж",50000,50 000 ₽,50 000 ₽,,3,54,9,32 м²,2,true,null,true,true,true,true,true,true,true,"2,8","{""timeMinutes"":16,""transportType"":""FOOT"",""station"":{""id"":199,""name"":""Ясенево"",""allRoutesColorsList"":[""#EA7D27""]}},{""timeMinutes"":26,""transportType"":""FOOT"",""station"":{""id"":197,""name"":""Тёплый Стан"",""allRoutesColorsList"":[""#EA7D27""]}},{""timeMinutes"":21,""transportType"":""PUBLIC_TRANSPORT"",""station"":{""id"":200,""name"":""Новоясеневская"",""allRoutesColorsList"":[""#EA7D27"",""#bac8e8""]}",REAR,"2,8",6.0,"50%, владельцу 50%"
https://m2.ru/moskva/nedvizhimost/arenda-2-komnatnoi-kvartiri-45-m-4-5-etazh-3c72b8b9-bfda-44da-b34b-423e979a75b3/,"Аренда 2-комнатной квартиры 45 м², 4/5 этаж",40000,40 000 ₽,40 000 ₽,,4,45,6,30 м²,2,false,false,true,true,false,true,false,true,true,"2,8","{""timeMinutes"":16,""transportType"":""FOOT"",""station"":{""id"":184,""name"":""Академическая"",""allRoutesColorsList"":[""#EA7D27""]}},{""timeMinutes"":18,""transportType"":""FOOT"",""station"":{""id"":4286,""name"":""Крымская"",""allRoutesColorsList"":[""#d14a43""]}},{""timeMinutes"":25,""transportType"":""FOOT"",""station"":{""id"":287,""name"":""Нагорная"",""allRoutesColorsList"":[""#adacac""]}",FRONT,"2,8",7.0,владельцу 50%
https://m2.ru/moskva/nedvizhimost/arenda-1-komnatnoi-kvartiri-45-m-8-12-etazh-2de280ba-55af-4024-924a-f4181db2beee/,"Аренда 1-комнатной квартиры 45 м², 8/12 этаж",31000,31 000 ₽,,,8,45,12,20 м²,1,false,false,true,true,true,true,false,true,true,"2,7","{""timeMinutes"":19,""transportType"":""FOOT"",""station"":{""id"":169289,""name"":""Силикатная"",""allRoutesColorsList"":[""#E94282""]}},{""timeMinutes"":22,""transportType"":""FOOT"",""station"":{""id"":169361,""name"":""Остафьево"",""allRoutesColorsList"":[""#E94282""]}},{""timeMinutes"":24,""transportType"":""PUBLIC_TRANSPORT"",""station"":{""id"":169302,""name"":""Подольск"",""allRoutesColorsList"":[""#E94282""]}",REAR,"2,7",8.0,
https://m2.ru/moskva/nedvizhimost/arenda-kvartiri-studii-24-m-14-17-etazh-cc232bf1-f2c0-46c4-b414-0b39fae70b2d/,"Аренда квартиры-студии 24 м², 14/17 этаж",35000,17 500 ₽,,,14,24,45,20 м²,null,false,false,true,true,true,true,false,true,true,"2,84","{""timeMinutes"":11,""transportType"":""FOOT"",""station"":{""id"":54,""name"":""Прокшино"",""allRoutesColorsList"":[""#DD201C""]}},{""timeMinutes"":21,""transportType"":""PUBLIC_TRANSPORT"",""station"":{""id"":56,""name"":""Ольховая"",""allRoutesColorsList"":[""#DD201C""]}},{""timeMinutes"":23,""transportType"":""PUBLIC_TRANSPORT"",""station"":{""id"":51,""name"":""Филатов Луг"",""allRoutesColorsList"":[""#DD201C""]}",REAR,"2,84",9.0,60%
https://m2.ru/moskva/nedvizhimost/arenda-2-komnatnoi-kvartiri-75-3-m-10-12-etazh-bf28526c-24ab-4d05-8b8f-7e07bf6ac5f5/,"Аренда 2-комнатной квартиры 75,3 м², 10/12 этаж",110000,110 000 ₽,110 000 ₽,,10,75.30000305175781,11,"40,1 м²",2,true,true,true,true,true,true,true,true,true,"3,1","{""timeMinutes"":10,""transportType"":""FOOT"",""station"":{""id"":169313,""name"":""Новаторская"",""allRoutesColorsList"":[""#89cdcf""]}},{""timeMinutes"":11,""transportType"":""FOOT"",""station"":{""id"":39,""name"":""Проспект Вернадского"",""allRoutesColorsList"":[""#DD201C"",""#89cdcf""]}},{""timeMinutes"":18,""transportType"":""PUBLIC_TRANSPORT"",""station"":{""id"":41,""name"":""Юго-Западная"",""allRoutesColorsList"":[""#DD201C""]}",REAR,"3,1",10.0,
